State,agepct12t21,agepct12t29,agepct16t24,agepct65up,medIncome,pctWWage,perCapInc,whitePerCap,blackPerCap,indianPerCap,asianPerCap,otherPerCap,HispPerCap,pctPopUnderPov,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,Population,HouseholdSize,racepctblack,racepctwhite,racepctasian,racepcthisp,TotalPctDiv,PctKids2Par,NumImmig,PctImmigRecent,PctImmigRec5,HousVacant,NumInShelters,NumStreet,murders,murdPerPop,rapes,rapesPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
MN,12.93,28.27,10.24,2.22,44920.0,94.46,15476.0,15550.0,21565.0,15515.0,7404.0,13569.0,16263.0,3.03,6.02,20.46,3.86,81.8,24854.0,3.17,0.66,97.42,1.28,0.84,7.89,86.1,348.0,8.33,18.1,254.0,0.0,0.0,1,2.96,78.42857142857143,48.307142857142864,1.0,2.96,27.0,80.03,120.0,355.69,717.0,2125.26,63.0,186.74,20.0,59.28
MN,12.47,22.36,10.31,17.76,23381.0,71.37,11516.0,11756.0,5850.0,6807.0,8522.0,5501.0,6090.0,11.62,24.27,14.05,9.37,56.25,18310.0,2.43,0.03,96.36,0.5,4.9,9.53,75.92,215.0,2.79,13.95,397.0,0.0,0.0,0,0.0,78.42857142857143,48.307142857142864,2.0,11.08,28.0,155.12,82.0,454.29,585.0,3241.0,39.0,216.07,3.0,16.62
MN,13.03,27.38,12.05,11.91,29492.0,79.34,13863.0,13976.0,9446.0,13834.0,8739.0,4136.0,2971.0,7.43,19.62,16.51,3.23,68.22,11523.0,2.57,0.17,98.58,0.62,0.9,7.85,81.37,125.0,8.8,24.8,281.0,3.0,0.0,1,7.89,78.42857142857143,48.307142857142864,1.0,7.89,10.0,78.91,40.0,315.66,492.0,3882.58,16.0,126.26,4.0,31.57
MN,13.43,26.77,10.73,4.46,45489.0,90.02,18182.0,18085.0,6082.0,26405.0,6410.0,8000.0,13364.0,3.74,10.14,25.7,3.36,77.4,11482.0,2.94,0.41,97.09,0.57,0.74,8.18,84.67,131.0,6.11,6.11,276.0,0.0,0.0,0,0.0,78.42857142857143,48.307142857142864,3.0,22.38,3.0,22.38,26.0,193.96,341.0,2543.83,15.0,111.9,3.0,22.38
MN,12.32,30.92,15.25,10.92,25324.0,77.11,14830.0,16936.0,7771.0,5609.0,6072.0,8577.0,8660.0,18.53,17.42,30.3,6.67,64.45,368383.0,2.29,13.02,78.44,4.27,2.14,13.1,54.43,22624.0,24.98,37.02,11984.0,1052.0,28.0,58,16.21,518.0,144.81,3178.0,888.43,2727.0,762.35,9358.0,2616.09,19952.0,5577.72,4672.0,1306.09,6.921875,24.87921875
MN,25.98,39.82,28.7,9.44,24265.0,79.26,10550.0,10889.0,5203.0,2946.0,4816.0,3037.0,3448.0,19.89,16.52,27.91,5.69,62.5,32295.0,2.92,0.47,95.33,1.1,2.76,6.91,75.17,816.0,32.48,39.22,448.0,50.0,0.0,1,3.0,78.42857142857143,48.307142857142864,4.0,11.98,44.0,131.8,194.0,581.13,1386.0,4151.81,59.0,176.74,6.0,17.97
MN,14.6,29.13,13.96,8.23,32073.0,84.95,14562.0,14595.0,0.0,8151.0,10428.0,11486.0,8851.0,6.33,11.49,27.33,3.17,74.54,10164.0,2.66,0.22,98.39,0.85,1.02,7.35,84.62,83.0,0.0,0.0,107.0,0.0,1.0,0,0.0,78.42857142857143,48.307142857142864,0.0,0.0,2.0,17.39,15.0,130.41,287.0,2495.22,9.0,78.25,1.0,8.69
MN,12.44,24.38,9.78,3.97,51014.0,93.87,21569.0,21527.0,14904.0,25771.0,26833.0,15359.0,13255.0,2.52,4.85,42.98,3.5,78.25,20075.0,2.9,1.63,94.57,3.08,1.72,8.39,86.0,770.0,21.69,25.58,614.0,0.0,0.0,0,0.0,78.42857142857143,48.307142857142864,4.0,13.59,13.0,44.18,205.0,696.62,693.0,2354.9,28.0,95.15,9.0,30.58
MN,10.3,21.26,9.55,14.84,46212.0,80.31,23105.0,23429.0,16942.0,20319.0,18746.0,3220.0,16151.0,4.26,7.23,41.98,2.91,67.08,20971.0,2.53,2.68,94.71,2.08,0.97,8.39,81.39,1128.0,13.39,19.24,259.0,40.0,0.0,0,0.0,78.42857142857143,48.307142857142864,9.0,43.21,9.0,43.21,139.0,667.34,440.0,2112.44,51.0,244.85,5.0,24.0
MN,16.07,27.68,14.94,13.34,22279.0,75.38,11481.0,11753.0,1754.0,2495.0,34866.0,3735.0,3254.0,18.15,24.73,16.66,5.23,59.72,17531.0,2.63,0.35,96.04,0.26,6.87,8.35,75.8,256.0,0.0,5.47,307.0,0.0,0.0,1,5.36,78.42857142857143,48.307142857142864,7.0,37.49,44.0,235.66,118.0,632.0,817.0,4375.77,30.0,160.68,6.0,32.14
MN,11.14,25.01,8.95,3.55,52011.0,93.03,20654.0,20919.0,17848.0,14371.0,5233.0,19250.0,23221.0,1.99,4.18,41.25,3.03,81.61,11732.0,2.92,0.24,97.58,1.66,0.66,6.64,90.4,236.0,5.93,11.86,233.0,0.0,0.0,1,6.55,78.42857142857143,48.307142857142864,1.0,6.55,8.0,52.38,40.0,261.9,203.0,1329.14,9.0,58.93,1.0,6.55
MN,9.46,33.92,14.96,12.69,29584.0,79.55,17106.0,17419.0,12581.0,14884.0,9328.0,3126.0,9684.0,6.89,13.06,26.02,2.2,73.1,16534.0,2.07,1.54,95.23,2.26,1.16,13.55,65.16,687.0,17.18,26.64,599.0,0.0,0.0,0,0.0,10.0,62.93,7.0,44.05,30.0,188.79,113.0,711.09,272.0,1711.66,67.0,421.62,4.0,25.17
MN,12.92,26.25,12.05,9.27,38785.0,84.55,16246.0,16403.0,2234.0,7674.0,12606.0,7080.0,8488.0,3.86,9.84,27.62,3.39,71.57,24288.0,2.73,0.35,98.04,1.02,1.12,8.96,80.02,513.0,14.23,14.23,393.0,0.0,0.0,0,0.0,78.42857142857143,48.307142857142864,8.0,32.37,5.0,20.23,195.0,788.9,876.0,3543.98,82.0,331.74,14.0,56.64
MN,11.93,27.37,12.03,9.2,34922.0,83.74,16533.0,16923.0,11676.0,6730.0,9386.0,11176.0,11842.0,7.85,10.91,33.17,3.5,70.42,70745.0,2.53,1.03,94.21,4.14,1.16,8.83,81.23,3693.0,32.25,42.38,1048.0,60.0,4.0,3,3.92,78.42857142857143,48.307142857142864,22.0,28.76,94.0,122.9,603.0,788.42,2454.0,3208.6,188.0,245.81,4.0,5.23
MN,13.21,23.78,10.94,15.72,22405.0,67.07,11168.0,11491.0,0.0,7107.0,7447.0,0.0,4269.0,13.12,26.85,13.33,9.67,52.9,10885.0,2.47,0.07,92.22,0.38,0.41,10.72,70.84,147.0,0.0,0.0,179.0,26.0,0.0,0,0.0,78.42857142857143,48.307142857142864,4.0,35.89,21.0,188.43,64.0,574.25,396.0,3553.16,31.0,278.15,1.0,8.97
MN,14.76,30.07,12.61,2.99,40404.0,93.33,13841.0,13958.0,12848.0,8907.0,10006.0,8213.0,5470.0,5.23,12.71,14.63,4.52,79.91,38975.0,3.04,0.33,97.15,1.37,1.02,10.35,80.15,576.0,8.16,16.32,351.0,0.0,1.0,0,0.0,78.42857142857143,48.307142857142864,17.0,40.14,50.0,118.07,312.0,736.77,1972.0,4656.76,102.0,240.87,12.0,28.34
MN,13.89,23.12,11.23,17.39,22378.0,66.55,11369.0,11367.0,3314.0,7315.0,54000.0,0.0,979.0,15.21,21.76,14.84,7.87,51.37,18046.0,2.43,0.14,98.65,0.29,0.44,8.88,76.21,403.0,1.74,3.47,727.0,27.0,0.0,0,0.0,78.42857142857143,48.307142857142864,0.0,0.0,4.0,22.44,41.0,229.96,231.0,1295.64,8.0,44.87,0.0,0.0
MN,13.62,29.83,14.65,7.26,36855.0,87.59,16347.0,16676.0,3964.0,11838.0,10252.0,12794.0,11659.0,6.08,12.88,20.51,4.93,73.67,28335.0,2.6,0.98,95.69,2.24,1.04,11.19,70.76,933.0,11.58,14.79,509.0,0.0,0.0,1,3.78,78.42857142857143,48.307142857142864,27.0,101.95,70.0,264.32,268.0,1011.97,1459.0,5509.19,118.0,445.57,4.0,15.1
MN,9.78,18.37,8.6,17.95,48936.0,74.81,32301.0,32375.0,21852.0,30374.0,33834.0,16522.0,18413.0,3.21,5.29,52.65,3.0,62.03,46070.0,2.32,0.72,97.19,1.73,0.71,7.89,86.33,1711.0,15.49,16.19,1123.0,0.0,0.0,1,2.13,78.42857142857143,48.307142857142864,17.0,36.21,28.0,59.63,346.0,736.89,1353.0,2881.54,84.0,178.9,8.0,17.04
MN,13.87,28.46,12.85,5.05,39378.0,89.34,15184.0,15296.0,11480.0,7265.0,6672.0,15322.0,10238.0,7.23,12.4,18.58,4.46,76.3,22477.0,2.88,0.74,97.12,0.63,2.5,10.02,76.55,285.0,6.32,8.07,346.0,0.0,0.0,0,0.0,78.42857142857143,48.307142857142864,3.0,12.13,30.0,121.31,192.0,776.35,671.0,2713.19,78.0,315.39,19.0,76.83
MN,12.65,30.06,12.22,5.98,34235.0,86.29,14803.0,14798.0,70000.0,6984.0,5959.0,24000.0,11780.0,6.86,12.45,18.05,4.02,75.91,11339.0,2.69,0.39,98.11,1.03,0.7,11.73,78.27,154.0,17.53,20.78,264.0,0.0,0.0,0,0.0,78.42857142857143,48.307142857142864,2.0,14.68,13.0,95.44,58.0,425.81,372.0,2731.08,11.0,80.76,1.0,7.34
MN,14.3,30.82,14.81,9.56,31289.0,80.44,14148.0,14319.0,8639.0,5781.0,4521.0,0.0,6649.0,8.48,17.45,16.42,5.6,66.25,17192.0,2.69,0.58,97.4,1.07,0.76,12.5,72.17,232.0,15.95,19.4,405.0,21.0,0.0,0,0.0,78.42857142857143,48.307142857142864,6.0,35.62,21.0,124.68,166.0,985.57,636.0,3776.05,53.0,314.67,11.0,65.31
MN,13.47,25.91,11.68,12.7,24604.0,75.2,11563.0,11663.0,2212.0,9908.0,5123.0,7738.0,7047.0,8.42,26.2,15.95,4.26,63.89,17085.0,2.67,0.34,97.34,1.47,1.48,10.56,71.82,191.0,15.71,18.32,226.0,0.0,0.0,0,0.0,78.42857142857143,48.307142857142864,8.0,44.3,17.0,94.14,178.0,985.71,767.0,4247.42,75.0,415.33,10.0,55.38
MN,13.86,26.96,12.55,11.82,30870.0,79.51,13485.0,13695.0,7807.0,10370.0,5922.0,5761.0,7704.0,6.06,18.08,20.05,3.28,69.04,19386.0,2.63,0.23,98.24,0.58,1.59,6.76,83.93,240.0,8.75,13.33,196.0,0.0,0.0,0,0.0,78.42857142857143,48.307142857142864,2.0,9.84,13.0,63.97,94.0,462.58,470.0,2312.88,39.0,191.92,3.0,14.76
MN,12.86,29.5,11.47,4.89,41049.0,90.82,16207.0,16475.0,7918.0,2711.0,10524.0,6484.0,6309.0,5.8,10.47,20.33,2.93,79.57,18374.0,2.74,1.04,97.01,0.99,1.58,10.56,78.86,307.0,19.22,28.99,237.0,0.0,0.0,0,0.0,78.42857142857143,48.307142857142864,11.0,46.49,48.0,202.87,101.0,426.86,578.0,2442.84,31.0,131.02,8.0,33.81
MN,11.32,24.79,11.48,14.08,30469.0,76.92,13915.0,14276.0,5097.0,7469.0,8743.0,7382.0,7293.0,8.54,20.63,12.56,5.95,65.59,18910.0,2.43,1.2,95.64,1.43,1.44,11.22,68.24,733.0,20.46,27.42,209.0,0.0,0.0,0,0.0,4.0,21.8,37.0,201.68,47.0,256.19,242.0,1319.09,792.0,4317.02,92.0,501.47,17.0,92.66
MN,14.62,25.61,11.73,9.9,39139.0,80.24,16021.0,16066.0,18804.0,4470.0,14005.0,13907.0,8335.0,5.68,12.68,28.82,2.8,66.67,13882.0,2.79,0.27,98.57,0.73,0.61,9.88,79.37,315.0,2.86,13.33,123.0,0.0,0.0,0,0.0,78.42857142857143,48.307142857142864,2.0,12.42,25.0,155.22,69.0,428.41,357.0,2216.57,24.0,149.01,0.0,0.0
MO,18.09,32.89,20.04,13.26,21577.0,75.78,11878.0,12029.0,7382.0,10264.0,10753.0,7192.0,8104.0,17.78,23.03,20.66,5.72,59.02,140494.0,2.45,2.51,95.65,0.9,0.95,13.04,69.79,2091.0,21.33,30.56,5119.0,327.0,4.0,7,4.63,77.0,50.98,136.0,90.05,449.0,297.29,2094.0,1386.46,7690.0,5091.64,454.0,300.6,134.0,88.72
MO,14.38,25.65,12.85,16.85,20569.0,68.59,10475.0,10832.0,5991.0,14440.0,6270.0,0.0,6043.0,18.27,31.36,14.2,8.52,54.24,12839.0,2.46,7.24,91.65,0.54,0.86,11.36,67.77,96.0,12.5,23.96,618.0,0.0,0.0,1,7.88,8.0,63.04,5.0,39.4,111.0,874.7,94.0,740.74,489.0,3853.43,21.0,165.48,1.0,7.88
MO,12.46,22.35,10.15,19.43,23744.0,68.16,12249.0,12818.0,6661.0,8590.0,21754.0,0.0,5101.0,14.35,30.01,13.93,4.48,55.04,11290.0,2.46,9.4,89.79,0.46,0.42,10.57,69.43,98.0,17.35,21.43,431.0,0.0,0.0,1,8.83,1.0,8.83,3.0,26.48,12.0,105.91,75.0,661.96,180.0,1588.7,10.0,88.26,0.0,0.0
MO,26.06,45.3,32.02,7.48,22059.0,82.93,12452.0,13355.0,6933.0,11495.0,7637.0,7127.0,9915.0,22.42,12.8,44.98,4.91,60.7,69101.0,2.67,9.93,85.14,4.12,1.31,8.97,67.89,4162.0,40.92,55.89,1710.0,57.0,3.0,1,1.34,30.0,40.15,108.0,144.55,300.0,401.52,571.0,764.22,3532.0,4727.17,166.0,222.17,30.0,40.15
MO,14.73,28.34,13.54,7.71,34179.0,84.66,12689.0,12721.0,6000.0,8977.0,19400.0,7032.0,9363.0,5.38,28.19,9.17,5.69,67.52,18828.0,2.83,0.14,99.16,0.29,0.91,11.17,74.84,107.0,6.54,6.54,322.0,0.0,0.0,1,4.94,2.0,9.87,10.0,49.37,68.0,335.69,99.0,488.72,501.0,2473.22,31.0,153.03,4.0,19.75
MO,11.99,25.49,11.43,12.5,36809.0,81.92,14914.0,15014.0,12346.0,22135.0,15347.0,16958.0,14330.0,3.29,19.75,16.32,3.5,65.89,51206.0,2.67,4.06,95.02,0.52,0.96,9.17,78.25,698.0,12.18,12.18,620.0,0.0,0.0,0,0.0,6.0,11.57,37.0,71.37,50.0,96.44,205.0,395.4,1055.0,2034.87,108.0,208.31,11.0,21.22
MO,11.08,22.59,10.15,16.17,32002.0,75.99,14914.0,15065.0,13223.0,10858.0,7762.0,13060.0,12058.0,4.78,15.17,18.13,3.91,63.66,30601.0,2.41,3.25,95.34,0.51,1.44,11.53,74.31,331.0,5.44,9.37,519.0,0.0,0.0,0,0.0,6.0,19.87,40.0,132.45,36.0,119.21,241.0,798.01,671.0,2221.85,132.0,437.09,23.0,76.16
MO,16.23,27.89,12.44,5.35,39904.0,89.04,14793.0,14787.0,14485.0,13814.0,16919.0,13347.0,10698.0,4.68,9.91,23.85,3.77,73.52,40153.0,2.97,2.44,95.6,1.07,1.59,10.1,82.07,662.0,8.31,11.48,717.0,0.0,0.0,1,2.42,9.0,21.8,23.0,55.71,55.0,133.21,159.0,385.11,1160.0,2809.6,82.0,198.61,9.0,21.8
MO,11.24,24.39,10.44,14.12,29450.0,77.2,13498.0,14632.0,10322.0,10379.0,9394.0,12738.0,14329.0,6.48,23.23,16.74,6.56,61.75,22286.0,2.55,25.08,73.83,0.6,1.08,12.5,65.46,293.0,2.39,4.78,596.0,0.0,0.0,0,0.0,10.0,43.89,70.0,307.25,42.0,184.35,239.0,1049.03,699.0,3068.08,237.0,1040.25,4.0,17.56
MO,14.24,27.39,14.46,15.32,19420.0,69.31,11296.0,11449.0,6639.0,9669.0,10524.0,3610.0,7193.0,16.96,27.03,16.49,5.98,57.4,40961.0,2.34,2.13,95.03,0.64,1.16,13.88,68.16,581.0,16.7,32.01,1893.0,33.0,0.0,5,11.56,25.0,57.78,55.0,127.12,142.0,328.21,631.0,1458.45,1876.0,4336.07,167.0,385.99,23.0,53.16
MO,14.99,23.36,11.37,7.82,66930.0,85.96,28019.0,28437.0,24612.0,15314.0,20386.0,17740.0,44545.0,2.09,7.08,53.72,2.27,66.4,37991.0,2.9,2.37,93.69,3.64,1.25,5.83,90.52,2257.0,18.56,23.97,904.0,0.0,0.0,0,0.0,4.0,9.95,12.0,29.84,27.0,67.14,177.0,440.16,797.0,1981.95,30.0,74.6,6.0,14.92
MO,14.05,28.87,12.52,6.3,30896.0,87.05,11901.0,12020.0,9292.0,8494.0,10217.0,9678.0,9685.0,6.79,19.47,11.63,5.53,72.32,18150.0,2.84,2.34,95.43,0.77,2.35,12.66,77.08,314.0,10.51,12.42,461.0,0.0,0.0,1,4.79,10.0,47.91,5.0,23.96,26.0,124.57,95.0,455.18,512.0,2453.16,34.0,162.91,3.0,14.37
MO,37.31,55.81,45.03,7.83,19672.0,81.87,9490.0,9796.0,4952.0,4366.0,15801.0,2977.0,4967.0,25.93,16.0,35.13,8.12,52.68,15244.0,3.05,7.81,89.39,2.02,1.36,6.09,71.92,481.0,37.84,49.9,458.0,0.0,0.0,1,5.96,9.0,53.62,12.0,71.5,13.0,77.45,103.0,613.68,348.0,2073.4,20.0,119.16,2.0,11.92
MO,7.97,19.65,8.0,22.85,31726.0,66.64,14227.0,14526.0,11204.0,22000.0,1931.0,12000.0,9163.0,3.72,33.85,11.63,5.01,52.1,10922.0,2.45,8.05,91.51,0.29,0.79,6.85,81.5,82.0,0.0,0.0,108.0,0.0,0.0,0,0.0,0.0,0.0,21.0,192.82,16.0,146.91,88.0,808.01,338.0,3103.48,55.0,505.0,0.0,0.0
MO,16.98,30.19,14.51,8.43,26372.0,83.98,10729.0,14809.0,8770.0,9412.0,2713.0,0.0,23296.0,15.65,28.95,8.19,11.85,62.07,12450.0,2.91,65.57,33.57,0.39,0.65,16.17,45.28,117.0,5.98,24.79,426.0,0.0,0.0,3,23.43,5.0,39.05,56.0,437.33,45.0,351.43,207.0,1616.56,326.0,2545.88,121.0,944.94,4.0,31.24
MO,10.05,19.89,9.15,17.44,40926.0,77.87,18481.0,18590.0,13611.0,12141.0,17686.0,13810.0,8696.0,3.36,16.67,29.34,4.23,60.85,11234.0,2.49,0.55,98.33,0.83,0.91,7.41,86.39,408.0,1.72,1.72,83.0,0.0,0.0,0,0.0,1.0,8.88,7.0,62.16,6.0,53.28,34.0,301.93,600.0,5328.12,19.0,168.72,4.0,35.52
MO,13.71,24.36,11.91,17.6,14868.0,61.42,9100.0,9462.0,4657.0,15105.0,17710.0,663.0,13616.0,26.82,41.94,11.8,8.52,49.67,16996.0,2.4,8.45,90.6,0.46,0.82,15.41,59.76,189.0,14.29,14.29,733.0,31.0,0.0,2,11.44,17.0,97.27,19.0,108.71,42.0,240.3,407.0,2328.64,1045.0,5978.94,60.0,343.29,19.0,108.71
MO,13.68,24.53,11.65,15.89,20095.0,68.17,10050.0,10354.0,6041.0,6611.0,12282.0,2152.0,7310.0,19.21,31.64,13.94,9.47,54.03,18004.0,2.54,6.34,92.68,0.44,0.48,11.5,70.95,147.0,37.41,37.41,802.0,0.0,0.0,0,0.0,9.0,49.29,7.0,38.33,104.0,569.52,217.0,1188.32,865.0,4736.87,31.0,169.76,10.0,54.76
MO,12.71,27.17,12.5,11.44,26713.0,77.98,13799.0,16367.0,8487.0,10538.0,11264.0,8573.0,9109.0,15.32,21.2,22.05,7.23,62.88,435146.0,2.45,29.59,66.78,1.2,3.91,15.22,56.13,12387.0,14.52,19.83,24182.0,597.0,96.0,153,34.34,515.0,115.59,3891.0,873.3,6402.0,1436.88,12106.0,2717.1,23611.0,5299.3,8487.0,1904.84,527.0,118.28
MO,9.66,27.16,11.09,14.94,32237.0,80.1,21799.0,22581.0,16784.0,10670.0,28290.0,27129.0,20217.0,7.31,14.65,40.8,4.17,66.87,10448.0,2.21,15.19,82.53,1.79,1.22,10.98,73.57,414.0,21.01,26.33,260.0,0.0,0.0,0,0.0,2.0,18.97,37.0,350.94,40.0,379.4,71.0,673.43,1141.0,10822.35,89.0,844.16,1.0,9.48
MO,19.25,34.09,21.85,12.67,22634.0,75.92,12254.0,12787.0,6590.0,8992.0,10913.0,6263.0,6841.0,18.04,22.96,24.32,6.44,59.54,34438.0,2.56,8.05,90.21,1.29,0.56,9.82,70.44,624.0,45.83,54.17,1185.0,1.0,0.0,2,5.52,10.0,27.59,42.0,115.87,66.0,182.07,266.0,733.81,1757.0,4847.03,111.0,306.22,2.0,5.52
MO,25.03,39.16,26.34,11.06,44218.0,79.35,31122.0,33258.0,4149.0,5000.0,14539.0,5399.0,22325.0,4.57,3.63,66.98,2.74,59.07,13874.0,2.58,3.21,91.44,4.9,1.6,8.73,77.26,1050.0,17.33,25.52,416.0,0.0,0.0,0,0.0,0.0,0.0,19.0,137.44,30.0,217.01,137.0,991.03,473.0,3421.59,43.0,311.05,1.0,7.23
MO,12.45,25.52,11.82,13.0,28242.0,77.67,13208.0,13357.0,8217.0,9864.0,8041.0,11186.0,10057.0,9.52,21.65,13.74,5.46,63.81,112301.0,2.48,1.45,96.2,0.98,1.97,13.12,70.86,1760.0,6.36,15.0,2940.0,7.0,0.0,4,3.55,51.0,45.28,137.0,121.62,463.0,411.04,1372.0,1218.02,4315.0,3830.72,857.0,760.82,29.0,25.75
MO,12.74,26.59,13.01,13.63,27597.0,77.22,15701.0,15910.0,14549.0,11915.0,6613.0,4996.0,15751.0,9.67,21.93,27.48,4.81,59.78,35481.0,2.51,10.09,88.84,0.46,0.78,11.96,74.5,486.0,10.49,11.73,1275.0,30.0,0.0,0,0.0,4.0,10.74,26.0,69.79,51.0,136.91,231.0,620.1,1274.0,3419.95,61.0,163.75,8.0,21.48
MO,13.3,24.74,10.96,7.94,46654.0,88.84,19716.0,19671.0,25666.0,21021.0,18130.0,11000.0,16469.0,2.49,9.57,36.34,2.24,72.85,21816.0,2.78,1.6,96.47,1.75,0.98,7.76,86.38,598.0,16.05,19.06,309.0,0.0,0.0,0,0.0,1.0,4.13,8.0,33.08,10.0,41.35,69.0,285.29,317.0,1310.68,13.0,53.75,0.0,0.0
MO,20.03,31.51,20.45,15.04,23839.0,69.61,10354.0,10786.0,6926.0,14292.0,6621.0,11594.0,14547.0,11.41,33.47,15.48,3.75,51.22,10033.0,2.93,11.17,87.79,0.56,0.49,12.25,63.53,110.0,6.36,6.36,331.0,0.0,0.0,0,0.0,5.0,47.29,6.0,56.75,31.0,293.23,80.0,756.72,336.0,3178.21,11.0,104.05,1.0,9.46
MO,11.42,20.06,8.51,15.25,41489.0,75.26,20238.0,21280.0,8005.0,12294.0,7735.0,38720.0,21101.0,3.96,10.51,46.79,3.7,62.68,22987.0,2.57,7.09,91.75,0.79,0.95,7.73,82.08,506.0,33.79,45.45,445.0,0.0,0.0,1,4.3,0.0,0.0,11.0,47.3,17.0,73.09,71.0,305.27,316.0,1358.67,34.0,146.19,6.0,25.8
MO,11.22,23.46,11.43,15.43,59913.0,81.62,38831.0,39984.0,20807.0,11905.0,25228.0,0.0,16174.0,3.62,7.57,55.89,1.79,62.36,12304.0,2.41,3.17,92.93,3.66,1.01,7.05,87.28,710.0,20.42,20.42,297.0,0.0,0.0,0,0.0,0.0,0.0,9.0,73.92,9.0,73.92,64.0,525.62,274.0,2250.33,31.0,254.6,0.0,0.0
MO,11.77,28.45,12.75,9.37,35197.0,85.12,15992.0,16115.0,16110.0,9633.0,9265.0,11149.0,16766.0,4.45,17.59,20.23,3.96,72.3,15324.0,2.41,10.6,87.82,0.96,1.4,12.93,72.03,362.0,5.25,9.39,410.0,0.0,0.0,2,12.56,3.0,18.83,24.0,150.67,38.0,238.56,176.0,1104.9,437.0,2743.42,107.0,671.73,7.0,43.95
MO,10.59,19.79,8.65,15.95,42113.0,77.21,22058.0,22812.0,10865.0,37107.0,15428.0,0.0,14510.0,2.82,11.77,42.87,3.12,63.68,27291.0,2.43,5.93,93.13,0.74,0.69,9.71,80.46,577.0,7.45,8.84,487.0,0.0,0.0,1,3.51,4.0,14.02,17.0,59.59,45.0,157.73,99.0,347.0,518.0,1815.63,39.0,136.7,5.0,17.53
MO,13.0,26.62,13.12,12.03,32150.0,79.14,17260.0,23505.0,11478.0,10545.0,8243.0,7941.0,12993.0,12.77,16.42,41.18,6.44,64.91,40087.0,2.42,48.23,49.09,2.2,1.11,12.51,57.48,2509.0,22.52,30.17,1150.0,11.0,2.0,5,12.16,16.0,38.9,131.0,318.48,110.0,267.43,622.0,1512.17,1479.0,3595.65,264.0,641.82,25.0,60.78
MO,17.14,29.09,16.32,14.17,21496.0,74.1,10659.0,11058.0,6134.0,20809.0,2700.0,9276.0,7193.0,13.58,33.6,15.18,5.42,56.92,12711.0,2.7,7.88,91.09,0.32,1.01,12.27,64.59,43.0,11.63,25.58,450.0,0.0,0.0,0,0.0,3.0,23.95,2.0,15.97,0.0,0.0,39.0,311.4,196.0,1565.0,2.0,15.97,0.0,0.0
MO,15.86,30.25,14.99,6.79,32779.0,88.36,14101.0,14503.0,12498.0,16054.0,11606.0,7963.0,9970.0,6.69,14.66,17.61,4.98,72.75,24967.0,2.69,16.95,80.88,0.94,1.53,13.39,69.27,468.0,5.34,11.97,1044.0,0.0,0.0,0,0.0,5.0,19.54,55.0,214.89,47.0,183.64,296.0,1156.52,445.0,1738.69,137.0,535.28,5.0,19.54
MO,12.33,23.34,10.78,18.3,20196.0,67.89,10873.0,11045.0,10608.0,9385.0,2559.0,0.0,5567.0,12.01,30.57,12.3,5.41,53.75,10747.0,2.5,2.2,95.06,1.65,0.59,11.45,72.98,200.0,19.0,21.5,419.0,7.0,0.0,2,17.92,0.0,0.0,3.0,26.89,10.0,89.62,90.0,806.6,323.0,2894.78,13.0,116.51,1.0,8.96
MO,12.74,26.37,11.77,13.85,30650.0,80.25,13273.0,13322.0,5847.0,18000.0,7070.0,0.0,2651.0,5.22,25.05,14.01,3.64,66.79,10704.0,2.61,0.74,98.63,0.36,0.71,8.24,82.09,101.0,52.48,52.48,239.0,0.0,0.0,0,0.0,2.0,17.5,1.0,8.75,55.0,481.15,63.0,551.13,366.0,3201.82,18.0,157.47,2.0,17.5
MO,12.59,24.72,11.63,17.34,19775.0,69.01,10455.0,10702.0,6807.0,5786.0,5822.0,27923.0,12025.0,15.01,30.89,11.26,9.11,55.7,19800.0,2.35,5.44,93.56,0.44,0.91,12.53,68.45,199.0,31.16,36.68,898.0,0.0,0.0,2,9.79,8.0,39.16,7.0,34.26,102.0,499.24,188.0,920.17,920.0,4502.96,36.0,176.2,0.0,0.0
MO,12.57,24.17,11.38,12.38,38619.0,83.34,17245.0,17400.0,14341.0,6335.0,16194.0,13656.0,9232.0,2.98,18.65,23.32,3.04,67.51,17779.0,2.62,3.66,94.66,1.33,0.94,10.75,77.52,282.0,10.99,15.6,330.0,0.0,0.0,1,5.58,6.0,33.46,91.0,507.5,43.0,239.81,193.0,1076.35,820.0,4573.09,139.0,775.19,0.0,0.0
MO,23.71,41.21,29.24,11.83,18784.0,74.69,10247.0,10312.0,6819.0,5467.0,11689.0,14330.0,10003.0,22.38,23.16,28.32,6.71,49.32,14090.0,2.65,2.09,92.15,4.9,1.18,9.02,71.4,847.0,46.16,55.73,548.0,0.0,0.0,0,0.0,4.0,26.84,2.0,13.42,19.0,127.47,981.0,6581.68,336.0,2254.28,32.0,214.69,9.0,60.38
MO,12.62,25.45,12.11,10.39,37302.0,84.94,17786.0,17851.0,18362.0,19121.0,11579.0,14002.0,10687.0,3.48,12.08,22.99,3.13,70.14,26243.0,2.49,1.04,97.06,0.77,2.45,10.72,79.09,415.0,2.17,14.7,541.0,0.0,0.0,0,0.0,9.0,32.24,26.0,93.14,42.0,150.45,154.0,551.65,419.0,1500.93,73.0,261.5,0.0,0.0
